CRRES EMIC wave events, their positions, and magnetospheric conditions
Data:
          orbit           year        yearday           xpos           ypos           zpos             ls            mlt           mlat     phase
            148           1990    267.8888855  -5408.2968750  35981.6953125  11653.1582031      6.1486259      6.4162779      8.0232477     quiet
            148           1990    267.8895874  -5506.4829102  35919.9218750  11646.6318359      6.1415801      6.4272699      8.0286398     quiet
            149           1990    268.2263794   5089.9531250  37718.7304688  10884.9550781      7.0503483      5.6058340     19.7201805     quiet
            149           1990    268.2270813   4991.5434570  37749.2070312  10906.5195312      7.0570202      5.6166000     19.7605000     quiet
            149           1990    268.2277832   4892.5571289  37775.3242188  10926.8242188      7.0630922      5.6273060     19.8002396     quiet
            149           1990    268.2284851   4793.5712891  37801.4414062  10947.1298828      7.0691643      5.6380119     19.8399792     quiet
            149           1990    268.2291565   4694.5849609  37827.5585938  10967.4345703      7.0752358      5.6487179     19.8797207     quiet
            149           1990    268.2298584   4595.5991211  37853.6757812  10987.7402344      7.0813079      5.6594238     19.9194603     quiet
            149           1990    268.2305603   4496.6127930  37879.7929688  11008.0449219      7.0873799      5.6701298     19.9591999     quiet
            149           1990    268.2333374   4098.6059570  37966.8945312  11084.2158203      7.1099639      5.7127380     20.1158409     quiet
            149           1990    268.2340393   3999.1042480  37988.6679688  11103.2587891      7.1156101      5.7233901     20.1550007     quiet
            167           1990    275.5166626  15504.0263672  23247.0644531   5565.3833008      4.9014401      3.0529799     14.8101997     quiet
            167           1990    275.5173645  15457.2841797  23426.4179688   5626.3398438      4.9292603      3.0703199     14.8833399     quiet
            167           1990    275.5180664  15410.5419922  23605.7714844   5687.2958984      4.9570804      3.0876598     14.9564800     quiet
            167           1990    275.5187378  15363.8007812  23785.1269531   5748.2524414      4.9849000      3.1050000     15.0296202     quiet
            167           1990    275.5194397  15317.0585938  23964.4804688   5809.2084961      5.0127201      3.1223400     15.1027603     quiet
            167           1990    275.5201416  15270.3164062  24143.8339844   5870.1650391      5.0405402      3.1396799     15.1759005     quiet
            167           1990    275.5208435  15219.1542969  24316.2031250   5929.4233398      5.0671244      3.1563039     15.2427006     quiet
            167           1990    275.6250000   2554.2214355  37909.9492188  11537.1767578      6.9968319      4.9473023     18.6485405     quiet
